0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
170976,4102,286,19/02/2018,H,FALSE,R16,3,26010,USA,,WC,91,614,,,20.082136,188,5216,ARG,2,,10,2815,,,29.407255,198,7-6(6) 4-6 7-5,,2,1,17,17,1,0,TRUE,170976,0,146,17,4,124,90,63,17,17,14,16,13,3,111,76,51,22,17,6,8
170935,4101,276,12/02/2018,H,TRUE,R32,3,4677,SRB,,,67,755,,,32.005474,193,5515,GER,,,56,905,,,27.802876,193,1-6 7-6(5) 6-2,,2,1,13,14,1,0,TRUE,170935,0,108,14,2,87,67,53,8,13,3,5,11,5,119,76,55,19,14,6,8
174774,4194,277,24/06/2019,G,FALSE,R32,3,6057,AUS,,,101,548,,,26.672142,193,4311,ITA,7,,71,745,,,35.33744,190,4-6 6-4 6-4,,2,1,16,14,0,0,TRUE,174774,0,127,24,6,117,79,59,16,15,11,13,16,3,117,62,47,24,15,7,10
176555,4239,291,17/02/2020,H,FALSE,R16,3,51544,USA,,WC,294,139,,,18.540726,,11787,GBR,,Q,60,885,,,24.487337,188,7-5 6-2,,2,0,13,7,0,0,TRUE,176555,0,81,3,0,55,28,21,18,10,1,2,3,4,63,37,20,15,10,3,7
171103,4106,293,26/02/2018,H,FALSE,R16,3,4291,TUN,,WC,117,481,,,34.10267,185,4894,NED,,,43,1220,,,30.893908,190,7-6(4) 7-6(3),,2,0,12,12,2,0,TRUE,171103,0,116,6,2,94,58,48,17,12,8,8,8,1,73,43,38,14,12,1,1
161708,3880,9,5/01/2015,H,FALSE,R32,3,4752,FRA,6,,26,1350,,,28.550308,185,4664,ESP,,,41,950,,,28.950035,180,6-3 7-5,,2,0,13,8,0,0,TRUE,161708,0,93,8,4,64,43,33,10,11,4,5,1,1,68,51,34,7,10,4,7
177442,4260,3104,6/03/2020,H,FALSE,RR,3,44481,SWE,,,67,759,,,21.47844,183,26017,CHI,,,173,290,,,22.748802,,3-6 7-5 6-3,,2,1,16,14,0,0,TRUE,177442,0,125,9,3,86,60,45,12,15,4,7,5,3,96,62,42,17,15,6,10
172077,4127,273,25/06/2018,G,FALSE,R32,3,5209,JPN,7,,45,1050,,,29.765913,173,5539,ARG,,,72,770,,,28.106775,185,6-4 3-6 6-4,,2,1,15,14,0,0,TRUE,172077,0,122,7,2,98,58,48,16,14,9,10,13,1,85,58,45,14,15,1,3
173924,4176,291,4/03/2019,H,FALSE,R16,3,5670,CAN,13,,14,2275,,,28.183435,196,5515,GER,,,55,910,,,28.856947,193,6-4 6-3,,2,0,12,7,0,0,TRUE,173924,0,74,12,4,61,33,28,16,10,3,3,7,2,58,38,29,8,9,3,5
166829,4000,257,15/08/2016,H,FALSE,R64,3,4789,FRA,9,,11,2755,,,29.954826,193,5793,ESP,,,48,940,,,25.09514,188,6-3 6-4,,2,0,12,7,0,0,TRUE,166829,0,64,8,1,45,38,32,4,9,0,0,2,0,65,49,30,8,10,2,5
162071,3889,21,9/02/2015,C,FALSE,QF,3,4562,ITA,,Q,149,357,,,29.683779,,5571,SRB,,,77,666,,,24.61328,180,7-6(5) 7-6(4),,2,0,12,12,2,0,TRUE,162071,0,114,10,2,83,54,40,19,12,1,2,3,2,88,64,50,11,12,5,6
172408,4135,287,23/07/2018,C,FALSE,R16,3,4914,ARG,,,36,1197,,,31.189596,188,4789,FRA,,,37,1160,,,31.890486,193,6-1 7-5,,2,0,13,6,0,0,TRUE,172408,0,80,3,2,62,46,32,7,10,2,4,3,4,49,28,14,7,9,3,8
165291,3966,9305,4/03/2016,H,FALSE,RR,3,5341,FIN,,,859,20,,,26.73785,,44521,ZIM,,,2147,1,,,19.364819,,6-1 6-0,,2,0,12,1,0,0,TRUE,165291,0,48,8,1,42,28,24,7,7,1,1,0,2,40,28,13,2,6,2,7
166680,3996,284,25/07/2016,H,FALSE,R32,3,3285,CZE,,Q,129,451,,,37.659138,185,5159,CAN,,WC,247,215,,,28.109514,180,7-6(5) 6-4,,2,0,12,10,1,0,TRUE,166680,0,92,5,1,59,37,27,11,11,1,4,2,5,71,35,18,21,11,5,9
169463,4063,275,24/07/2017,H,FALSE,R32,3,11433,FRA,,Q,134,413,,,20.741957,,11550,USA,,Q,133,417,,,19.474333,,7-5 7-6(7),,2,0,13,11,1,0,TRUE,169463,0,107,9,6,92,55,39,22,12,7,8,6,8,81,60,45,8,12,5,7
162776,3906,17,27/04/2015,C,FALSE,R16,3,4752,FRA,5,,28,1330,,,28.856947,185,4927,FRA,,Q,137,389,,,27.912388,203,6-2 6-3,,2,0,12,5,0,0,TRUE,162776,0,64,0,0,52,31,27,11,9,2,2,1,2,47,33,22,4,8,2,5
169209,4057,284,26/06/2017,G,FALSE,R32,3,6354,IND,,Q,222,240,,,22.631075,,4296,BRA,,,68,708,,,33.393566,178,6-3 6-4,,2,0,12,7,0,0,TRUE,169209,0,66,12,2,60,33,28,16,10,1,1,5,4,55,25,18,16,9,1,3
169472,4063,286,24/07/2017,H,FALSE,R16,3,4544,USA,2,,20,2045,,,32.243668,206,5565,CAN,,,68,697,,,27.085558,193,6-3 6-4,,2,0,12,7,0,0,TRUE,169472,0,67,10,1,44,28,27,13,10,0,0,4,2,59,31,22,14,9,3,5
168915,4050,288,22/05/2017,C,FALSE,R16,3,4994,GER,,Q,33,1165,,,29.749487,190,4544,USA,4,,22,2020,,,32.071182,206,6-4 6-7(5) 6-3,,2,1,18,13,0,1,TRUE,168915,0,120,11,1,90,63,54,17,16,4,4,9,0,98,74,49,15,15,1,3
171417,4110,291,9/04/2018,C,FALSE,R16,3,6044,USA,3,,16,2200,,,25.538671,185,4546,ARG,,,66,798,,,32.950035,188,6-4 6-4,,2,0,12,8,0,0,TRUE,171417,0,88,6,3,49,25,22,18,10,0,0,4,7,80,47,34,15,10,11,13
164156,3933,5,21/09/2015,H,FALSE,R32,3,3917,FRA,,,67,722,,,33.66461,190,5630,ARG,,,64,737,,,24.960985,190,6-2 7-5,,2,0,13,7,0,0,TRUE,164156,0,,7,0,57,41,35,7,10,3,4,4,3,78,57,34,7,10,7,11
