date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
 08/03/2018,"Steve Johnson 
						JOH
				","Daniil Medvedev 
						MED
				","
				1.77
			","
				2.05
			","
				3.28
			","
				4.37
			","
				3.95
			","
				2.79
			","
						2.37
					","
						1.65
					"
 09/03/2018,"Fernando Verdasco 
						VER
				","Guido Pella 
						PEL
				","
				1.60
			","
				2.34
			","
				3.80
			","
				4.83
			","
				3.79
			","
				2.48
			","
						2.37
					","
						1.61
					"
 09/03/2018,"Marius Copil 
						COP
				","Peter Polansky 
						POL
				","
				1.65
			","
				2.25
			","
				3.64
			","
				4.70
			","
				3.81
			","
				2.57
			","
						2.37
					","
						1.63
					"
 09/03/2018,"Denis Shapovalov 
						SHA
				","Ricardas Berankis 
						BER
				","
				1.37
			","
				3.09
			","
				5.30
			","
				6.17
			","
				3.76
			","
				1.96
			","
						2.62
					","
						1.55
					"
 09/03/2018,"Ryan Harrison 
						HAR
				","Federico Delbonis 
						DEL
				","
				1.31
			","
				3.44
			","
				5.50
			","
				6.40
			","
				3.77
			","
				1.88
			","
						2.62
					","
						1.50
					"
 09/03/2018,"Benoit Paire 
						PAI
				","Mitchell Krueger 
						KRU
				","
				1.56
			","
				2.44
			","
				4.08
			","
				5.18
			","
				3.80
			","
				2.27
			","
						2.37
					","
						1.60
					"
 09/03/2018,"Jared Donaldson 
						DON
				","Evan King 
						KIN
				","
				1.24
			","
				4.02
			","
				6.73
			","
				7.50
			","
				3.86
			","
				1.68
			","
						3.00
					","
						1.47
					"
 09/03/2018,"Nicolas Kicker 
						KIC
				","Jiri Vesely 
						VES
				","
				2.43
			","
				1.56
			","
				2.35
			","
				3.81
			","
				5.24
			","
				3.91
			","
						2.37
					","
						1.61
					"
 09/03/2018,"Karen Khachanov 
						KHA
				","Evgeny Donskoy 
						DON
				","
				1.30
			","
				3.56
			","
				6.07
			","
				6.90
			","
				3.83
			","
				1.79
			","
						2.75
					","
						1.51
					"
 09/03/2018,"Gael Monfils 
						MON
				","Matthew Ebden 
						EBD
				","
				1.21
			","
				4.39
			","
				7.47
			","
				8.84
			","
				3.94
			","
				1.62
			","
						3.25
					","
						1.44
					"
 09/03/2018,"Marcos Baghdatis 
						BAG
				","Yoshihito Nishioka 
						NIS
				","
				1.28
			","
				3.70
			","
				6.23
			","
				7.24
			","
				3.86
			","
				1.74
			","
						3.00
					","
						1.47
					"
 09/03/2018,"Mikhail Youzhny 
						YOU
				","Joao Sousa 
						SOU
				","
				2.39
			","
				1.58
			","
				2.40
			","
				3.93
			","
				5.13
			","
				3.96
			","
						2.43
					","
						1.59
					"
 09/03/2018,"Pierre-Hugues Herbert 
						HER
				","Gilles Simon 
						SIM
				","
				2.24
			","
				1.65
			","
				2.58
			","
				3.90
			","
				4.75
			","
				3.64
			","
						2.37
					","
						1.63
					"
 09/03/2018,"Yuki Bhambri 
						BHA
				","Nicolas Mahut 
						MAH
				","
				1.93
			","
				1.87
			","
				2.96
			","
				4.17
			","
				4.26
			","
				3.02
			","
						2.28
					","
						1.63
					"
 09/03/2018,"Frances Tiafoe 
						TIA
				","Ernesto Escobedo 
						ESC
				","
				1.45
			","
				2.74
			","
				4.59
			","
				5.65
			","
				3.76
			","
				2.20
			","
						2.50
					","
						1.59
					"
 09/03/2018,"Viktor Troicki 
						TRO
				","Marton Fucsovics 
						FUC
				","
				2.21
			","
				1.67
			","
				2.65
			","
				3.94
			","
				4.67
			","
				3.59
			","
						2.37
					","
						1.63
					"
 09/03/2018,"Nikoloz Basilashvili 
						BAS
				","Tennys Sandgren 
						SAN
				","
				2.47
			","
				1.54
			","
				2.36
			","
				3.85
			","
				5.17
			","
				4.08
			","
						2.38
					","
						1.59
					"
 09/03/2018,"Taro Daniel 
						DAN
				","Cameron Norrie 
						NOR
				","
				2.77
			","
				1.44
			","
				2.10
			","
				3.81
			","
				5.90
			","
				4.61
			","
						2.50
					","
						1.57
					"
 09/03/2018,"Jan-Lennard Struff 
						STR
				","Alex De Minaur 
						DEM
				","
				1.90
			","
				1.91
			","
				3.14
			","
				4.31
			","
				4.19
			","
				3.00
			","
						2.30
					","
						1.64
					"
 09/03/2018,"Denis Istomin 
						IST
				","Peter Gojowczyk 
						GOJ
				","
				2.52
			","
				1.53
			","
				2.34
			","
				3.83
			","
				5.24
			","
				4.17
			","
						2.50
					","
						1.60
					"
 09/03/2018,"Dudi Sela 
						SEL
				","Peter Gojowczyk 
						GOJ
				","
				2.92
			","
				1.41
			","
				2.04
			","
				3.75
			","
				5.99
			","
				4.72
			","
						2.50
					","
						1.56
					"
 09/03/2018,"Vasek Pospisil 
						POS
				","Felix Auger Aliassime 
						AUG
				","
				1.49
			","
				2.61
			","
				4.46
			","
				5.69
			","
				3.77
			","
				2.20
			","
						2.50
					","
						1.60
					"
 10/03/2018,"Leonardo Mayer 
						MAY
				","Victor Estrella Burgos 
						EST
				","
				1.15
			","
				5.55
			","
				9.29
			","
				11.00
			","
				4.19
			","
				1.46
			","
						3.50
					","
						1.36
					"
 10/03/2018,"Mikhail Kukushkin 
						KUK
				","Mischa Zverev 
						ZVE
				","
				1.80
			","
				2.02
			","
				3.41
			","
				4.46
			","
				4.03
			","
				2.78
			","
						2.37
					","
						1.64
					"
 10/03/2018,"Thomas Fabbiano 
						FAB
				","Bradley Klahn 
						KLA
				","
				1.83
			","
				1.97
			","
				3.20
			","
				4.38
			","
				4.18
			","
				2.92
			","
						2.35
					","
						1.63
					"
 10/03/2018,"Tim Smyczek 
						SMY
				","Laslo Djere 
						DJE
				","
				1.34
			","
				3.28
			","
				5.27
			","
				6.45
			","
				3.81
			","
				1.96
			","
						2.62
					","
						1.51
					"
 10/03/2018,"Adrian Mannarino 
						MAN
				","Peter Polansky 
						POL
				","
				1.26
			","
				3.86
			","
				6.41
			","
				7.49
			","
				3.91
			","
				1.75
			","
						2.75
					","
						1.48
					"
 10/03/2018,"Albert Ramos Vinolas 
						RAM
				","Borna Coric 
						COR
				","
				2.74
			","
				1.45
			","
				2.18
			","
				3.77
			","
				5.78
			","
				4.50
			","
						2.50
					","
						1.58
					"
