,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
30,168297,4038,232,2017-03-06,H,False,R128,3,5367,GER,,Q,148,394,,,27.641342,185.0,24020,USA,,WC,174.0,337.0,,,19.520876,211.0,6-4 3-6 6-1,,2,1,15,11,0,0,True,168297,0,86.0,7,8,75,35,30,24,13,1,2,25,8,72,42,32,15,13,5,8
31,175286,4207,268,2019-08-12,H,False,R64,3,5016,USA,,WC,45,1035,,,31.84668,198.0,5718,FRA,,,41.0,1048.0,,,28.402464,188.0,7-6(2) 7-6(1),,2,0,12,12,2,0,True,175286,0,97.0,18,7,80,42,38,16,12,3,5,4,3,77,46,35,14,12,3,5
32,171989,4124,275,2018-06-11,G,False,R32,3,5324,FRA,,,47,1055,,,29.092403,196.0,26006,USA,,,67.0,842.0,,,20.618753,193.0,6-7(4) 6-3 6-2,,2,1,18,11,0,1,True,171989,0,96.0,14,6,103,63,46,21,15,5,7,11,2,95,63,43,15,14,3,8
33,169739,4070,284,2017-08-14,H,False,R32,3,5070,ESP,,,24,1735,,,29.574265,188.0,4180,LUX,16.0,,22.0,1885.0,,,34.26694,193.0,5-7 6-4 6-4,,2,1,17,15,0,0,True,169739,0,139.0,7,1,98,64,51,17,16,2,3,19,10,90,47,42,17,16,1,3
34,165001,3958,281,2016-02-08,H,False,R32,3,4570,CYP,,,61,769,,,30.644764,183.0,5663,BEL,4.0,,16.0,1970.0,,,25.1718,163.0,6-1 5-7 7-6(5),,2,1,17,14,1,0,True,165001,0,140.0,5,3,106,63,49,21,16,3,5,7,1,100,59,40,22,15,8,11
35,166115,3984,295,2016-06-06,G,False,QF,3,5216,ARG,,WC,223,230,,,27.701574,198.0,4467,FRA,4.0,,18.0,1855.0,,,31.441479,183.0,6-7(3) 6-3 6-0,,2,1,18,9,0,1,True,166115,0,124.0,8,4,77,57,46,14,14,2,2,7,4,94,46,33,24,13,6,10
36,173697,4168,280,2019-02-11,H,True,R32,3,4198,ESP,,,102,547,,,35.690624,188.0,45437,AUS,,LL,123.0,450.0,,,19.520876,196.0,7-6(6) 6-3,,2,0,12,9,1,0,True,173697,0,80.0,3,4,67,40,32,19,11,3,4,8,3,56,38,31,10,10,2,4
37,175526,4211,284,2019-09-16,H,True,R32,3,5528,RUS,,WC,118,468,,,29.355236,185.0,4965,ITA,,LL,218.0,228.0,,,32.194386,,6-2 6-1,,2,0,12,3,0,0,True,175526,0,65.0,2,1,42,26,21,6,7,2,3,0,6,62,40,20,6,8,3,9
38,170792,4095,11102,2018-02-03,H,False,RR,3,5488,GUA,,,630,42,,,27.879534,,5456,VEN,,,1438.0,2.0,,,28.032854,,6-2 6-3,,2,0,12,5,0,0,True,170792,0,66.0,7,1,49,25,21,16,9,1,1,1,6,56,32,20,12,8,3,7
39,173082,4150,272,2018-10-15,H,True,R32,3,11429,USA,,,84,681,,,23.498974,,11769,CHI,,,43.0,1110.0,,,23.011637,,6-1 7-6(8),,2,0,12,7,1,0,True,173082,0,83.0,4,2,58,44,33,10,9,0,0,18,2,84,54,33,13,10,4,7
