,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
30,176124,4228,262,2020-01-06,H,False,RR,3,5543,GBR,,,42,1124,,,29.623545,175.0,5663,BEL,,,11.0,2335.0,,,29.081451,163.0,6-4 6-4,,2,0,12,8,0,0,True,176124,0,108.0,3,0,74,53,31,11,10,1,4,4,0,56,29,17,13,10,0,5
31,173168,4153,276,2018-10-22,H,True,R32,3,26006,USA,,WC,57,913,,,20.98289,193.0,11485,SRB,,Q,87.0,626.0,,,23.38946,188.0,6-0 7-5,,2,0,13,5,0,0,True,173168,0,78.0,7,2,48,30,24,11,9,1,2,4,2,75,38,21,17,9,4,9
32,172264,4130,280,2018-07-16,C,False,R32,3,5577,AUT,,,115,490,,,28.008213,,44668,FRA,,Q,117.0,482.0,,,19.241615,178.0,6-1 6-1,,2,0,12,2,0,0,True,172264,0,54.0,2,1,44,28,23,7,7,2,2,0,0,42,28,14,3,7,3,8
33,163561,3921,3,2015-07-20,C,False,R32,3,4596,ESP,,PR,138,380,,,29.91102,183.0,4269,ESP,5.0,,38.0,1080.0,,,31.676933,188.0,6-4 1-6 7-5,,2,1,14,15,0,0,True,163561,0,,7,5,93,56,38,18,14,6,9,5,2,93,58,38,21,15,5,8
34,173653,4167,299,2019-02-11,C,False,SF,3,6029,ARG,4.0,,19,1835,,,26.488707,170.0,6219,AUT,1.0,,8.0,3960.0,,,25.44011,185.0,2-6 6-4 7-6(5),,2,1,14,16,1,0,True,173653,0,151.0,1,8,104,80,47,8,15,3,10,2,4,100,76,49,9,15,2,8
35,168161,4034,283,2017-02-20,C,False,R32,3,34553,NOR,,WC,208,258,,,18.16564,183.0,4296,BRA,,,88.0,628.0,,,33.048595,178.0,6-3 6-4,,2,0,12,7,0,0,True,168161,0,85.0,4,2,63,37,29,14,10,0,0,8,5,60,33,25,13,9,1,3
36,169694,4069,294,2017-08-07,H,False,QF,3,3819,SUI,2.0,,3,6545,,,35.99726,185.0,5131,ESP,12.0,,16.0,2335.0,,,29.314169,183.0,6-4 6-4,,2,0,12,8,0,0,True,169694,0,68.0,5,2,51,26,21,18,10,2,3,2,3,58,37,24,12,10,3,6
37,165120,3962,280,2016-02-22,H,False,R32,3,5006,UKR,,,85,645,,,28.457222,185.0,26008,USA,,Q,247.0,214.0,,,18.767967,185.0,6-2 7-6(4),,2,0,12,8,1,0,True,165120,0,87.0,9,6,59,38,35,6,10,1,2,3,1,71,45,29,11,10,1,4
38,163217,3917,1,2015-06-15,G,False,R32,3,4913,GBR,1.0,,3,7040,,,28.084873,190.0,4229,TPE,,Q,63.0,764.0,,,31.83573,180.0,6-4 7-5,,2,0,13,9,0,0,True,163217,0,,12,2,66,38,32,12,11,2,4,1,1,64,45,31,6,11,2,6
39,163175,3915,17,2015-06-08,G,False,R16,3,4677,SRB,8.0,,28,1242,,,29.322382,193.0,644,GER,,WC,84.0,609.0,,,18.132786,198.0,6-3 6-7(6) 6-3,,2,1,18,12,0,1,True,163175,0,,8,1,93,69,56,12,16,1,2,7,4,94,63,46,12,14,6,9
