"(0.5, 0.6)","{'Match Outcome': [0.09926271168157867, 0.9007372883184214], 'Match Score': [0.03802579709889818, 0.0612369145826805, 0.6480216960374746, 0.2527155922809467], 'Number of Games': [0.002364118522264871, 0.01110458718642825, 0.02888946084825113, 0.05445026772060833, 0.0837574597936296, 0.09706465032773491, 0.0954180293319046, 0.08693589673733501, 0.07421318584599203, 0.056739850222815164, 0.06307639368762914, 0.04162022991933308, 0.030959287291511248, 0.042754794858808474, 0.040430179901806425, 0.03591077080309649, 0.03469948414118724, 0.03174434635884741, 0.02668631904818623, 0.02083359672697834, 0.01567550907455306, 0.009612435620247493, 0.006710886706528652, 0.004871274072823137, 0.0017833332421225336, 0.0007832669088994546, 0.0007011632177528338, 0.00020922188272464316], 'Set Score': [0.0031084165201382633, 0.01172637422000016, 0.024755106903450654, 0.04180966912884517, 0.05648635603495376, 0.026988535776164856, 0.03013276927216411, 0.05559906747591297, 0.12623912658592132, 0.17193737119413965, 0.1721038254287748, 0.1513079087200457, 0.07058118285271937, 0.057224289886769183]}"

"(0.5, 0.62)","{'Match Outcome': [0.06518140720051645, 0.9348185927994835], 'Match Score': [0.024236748667738776, 0.0409446585327778, 0.7128735945562684, 0.221944998243215], 'Number of Games': [0.0035690105592239315, 0.015737132646571075, 0.038519532265635315, 0.06827351077006827, 0.09894343897747379, 0.10802639929409244, 0.10104457678177181, 0.0889327083260329, 0.07439107602921873, 0.056186963714167454, 0.05977852564413613, 0.039080791932664706, 0.02947877513616641, 0.038496462809000154, 0.035004796739386196, 0.030004943133839487, 0.027960494646291873, 0.024673633358696604, 0.019950923919027953, 0.01497534240801554, 0.010855844192696489, 0.006522721540051256, 0.0044365250749585465, 0.0030631964307202167, 0.0010832502484873544, 0.0004794978435718063, 0.00041195193350197876, 0.00011797364453165746], 'Set Score': [0.002247191287315087, 0.008785826925850641, 0.01906068058920106, 0.03340222559741549, 0.046338973997361955, 0.021700886017854644, 0.02415165336548627, 0.06734222121524286, 0.14473354795047094, 0.1872370602857346, 0.17714754962459375, 0.1480268428756044, 0.06740523426117916, 0.052420106006689185]}"

"(0.5, 0.64)","{'Match Outcome': [0.04233574002865695, 0.9576642599713431], 'Match Score': [0.015377254398173881, 0.026958485630483198, 0.7673670816843738, 0.19029717828696902], 'Number of Games': [0.00519651933242101, 0.021594335728052787, 0.04987532395916143, 0.0833206436069053, 0.11391487230683449, 0.11735005948049718, 0.10455472162282653, 0.08894561436159641, 0.07283890420902037, 0.054257763692571896, 0.05527382993622985, 0.03574550559053233, 0.027180586565354353, 0.033589673947878484, 0.02936716976785545, 0.02430672502440829, 0.0218399168572088, 0.018571157497963658, 0.014429449733497518, 0.01040991399285332, 0.0072700084551038276, 0.00427431574134992, 0.0028274063085410696, 0.0018546129064846285, 0.0006329045980536959, 0.00028223698013705095, 0.00023216761751052102, 6.36601791499054e-05], 'Set Score': [0.0016426032095878027, 0.006631210816858644, 0.014735690724294334, 0.02669195843369207, 0.037900788912798446, 0.01736404735727072, 0.0190446796573558, 0.07984265876286573, 0.16277477261335987, 0.20030683419803805, 0.1795249441942854, 0.14278256147831392, 0.06337028950824578, 0.047386960133033625]}"

"(0.5, 0.66)","{'Match Outcome': [0.0275102310650042, 0.9724897689349958], 'Match Score': [0.009812607348764713, 0.017697623716239425, 0.8116953051505239, 0.16079446378447199], 'Number of Games': [0.007248046266250723, 0.028515964472150053, 0.062395854270777235, 0.09860848253394833, 0.12756650821234683, 0.12437662967734783, 0.10582592293017357, 0.08716396239236103, 0.0698712242530953, 0.05126732293479181, 0.050101789897135825, 0.03199867103970687, 0.024380631997891793, 0.028586699993097917, 0.02405533909698098, 0.019251448470084146, 0.0166955297263889, 0.013684845107393115, 0.010222591642130017, 0.007095981318822647, 0.004780367172548537, 0.002748800000644494, 0.0017671838031497493, 0.0011020906688420694, 0.00036312619439114594, 0.00016300634775586354, 0.00012831217622551237, 3.366740356781806e-05], 'Set Score': [0.0012200532364685826, 0.005067356614715449, 0.01149729552355169, 0.021446545907558446, 0.031071399937875565, 0.013912918559662556, 0.014848560751472265, 0.09271628974847307, 0.17981487166431806, 0.21098298805800308, 0.1796612984940042, 0.13631729907042392, 0.058931156297160274, 0.042511966136312945]}"

"(0.5, 0.6799999999999999)","{'Match Outcome': [0.018085822932117166, 0.9819141770678829], 'Match Score': [0.0063620412441029875, 0.011723781688014268, 0.8468371001084763, 0.1350770769594065], 'Number of Games': [0.00967026691367263, 0.036198068076337755, 0.07538508736273322, 0.1132178458049281, 0.1391631711635218, 0.1289521256100315, 0.10515428574883287, 0.08405837476313975, 0.06599349291940163, 0.04766088556278109, 0.04480363605097135, 0.028218876434900435, 0.021431851884402164, 0.023936168525016406, 0.01942317931426638, 0.015059332253126997, 0.012629744262547612, 0.009993837611536082, 0.007189992961525241, 0.004812624324065479, 0.003134601248914029, 0.0017633766396789297, 0.0011021791707287783, 0.0006550855512096455, 0.0002087622263485975, 9.423405065027993e-05, 7.105463903881941e-05, 1.7858925692679002e-05], 'Set Score': [0.0009250123923886515, 0.003938940792544172, 0.00909704143545449, 0.01741254090517267, 0.0256620632892017, 0.011230256162978949, 0.011501476430345802, 0.1055430396100155, 0.1954181108477201, 0.21932497690914854, 0.17809823702052, 0.12932093287806817, 0.054469292040801504, 0.03805807928563968]}"

