0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
172026,4125,283,18/06/2018,G,FALSE,R32,3,5044,AUS,,SE,60,911,,,30.55989,188,4291,TUN,,,59,912,,,34.40931,185,6-0 7-6(2),,2,0,12,6,1,0,TRUE,172026,0,62,3,4,62,46,34,6,9,2,3,2,2,50,29,16,10,9,2,6
177182,4252,290,12/10/2020,C,FALSE,R16,3,6051,ITA,,WC,103,671,,,28.032854,185,26008,USA,7,,58,994,,,23.405886,185,7-6(1) 6-4,,2,0,12,10,1,0,TRUE,177182,0,88,4,0,60,39,35,12,11,2,3,4,1,65,41,29,14,11,0,2
163847,3929,49,10/08/2015,H,FALSE,QF,3,4920,SRB,1,,1,13755,,,28.219028,188,5201,LAT,,Q,87,585,,,26.94319,190,5-7 7-6(7) 6-1,,2,1,17,14,1,0,TRUE,163847,0,,10,5,80,50,40,19,15,3,6,9,7,110,61,42,24,16,4,9
170865,4098,291,5/02/2018,H,TRUE,R16,3,5792,BIH,,Q,129,448,,,26.570843,,4259,GER,4,,35,1335,,,34.30801,178,7-5 7-6(5),,2,0,13,11,1,0,TRUE,170865,0,101,8,0,82,52,41,19,12,2,2,3,2,82,53,40,16,12,4,5
164575,3946,505,15/11/2015,H,FALSE,RR,3,5442,JPN,8,,8,4035,,,25.880903,178,4606,CZE,6,,6,4620,,,30.162903,196,7-5 3-6 6-3,,2,1,16,14,0,0,TRUE,164575,0,,4,4,88,52,39,18,15,1,3,5,2,105,53,37,26,15,6,9
162849,3909,9,3/05/2015,C,FALSE,R64,3,4619,ITA,,,63,791,,,29.568789,183,4728,RSA,15,,17,1960,,,28.960985,203,6-4 6-3,,2,0,12,7,0,0,TRUE,162849,0,76,2,1,42,32,28,8,9,0,0,6,4,70,44,29,12,10,3,6
162396,3899,10,12/03/2015,H,FALSE,R128,3,5058,USA,,WC,83,613,,,27.189596,175,3794,GER,,,40,1078,,,33.727585,178,6-3 7-6(4),,2,0,12,9,1,0,TRUE,162396,0,82,1,1,63,44,33,12,11,0,1,3,2,78,46,34,12,10,8,10
168694,4044,284,24/04/2017,C,FALSE,R32,3,6196,CZE,,,58,853,,,23.789185,198,6418,CRO,,,48,915,,,20.440794,188,7-6(4) 6-4,,2,0,12,10,1,0,TRUE,168694,0,103,4,0,75,54,37,14,11,4,5,6,1,62,44,26,13,11,0,2
165886,3980,271,16/05/2016,C,FALSE,R32,3,4794,UZB,,,64,771,,,29.689255,188,4252,GER,,LL,236,223,,,32.613277,190,6-2 6-3,,2,0,12,5,0,0,TRUE,165886,0,57,2,2,52,33,26,13,9,1,1,1,0,44,33,19,6,8,3,6
172349,4133,286,23/07/2018,H,FALSE,R16,3,6387,AUS,2,,18,1935,,,23.238878,193,11483,USA,,Q,164,341,,,22.417522,,7-5 6-2,,2,0,13,7,0,0,TRUE,172349,0,56,15,1,46,28,24,14,10,1,2,4,2,57,37,22,11,10,3,7
176111,4228,275,6/01/2020,H,FALSE,RR,3,44524,RSA,,,99,569,,,22.863792,193,11769,CHI,,,77,675,,,24.238194,,6-4 6-4,,2,0,12,8,0,0,TRUE,176111,0,81,8,1,56,38,32,8,10,1,2,4,3,63,44,28,8,10,5,8
173586,4164,284,4/02/2019,C,FALSE,R32,3,5370,SLO,,,65,760,,,29.549623,181,9719,GER,,,76,699,,,23.641342,,6-3 6-4,,2,0,12,7,0,0,TRUE,173586,0,86,2,1,55,32,27,15,10,0,0,3,2,59,45,33,4,9,8,10
174057,4177,253,18/03/2019,H,FALSE,R64,3,4728,RSA,6,,7,4115,,,32.832306,203,44493,ESP,,,61,845,,,21.867214,183,6-4 3-6 6-3,,2,1,15,13,0,0,TRUE,174057,0,131,17,0,88,58,41,19,14,4,6,5,1,86,55,37,21,14,4,7
174128,4178,275,8/04/2019,C,FALSE,R32,3,4385,SRB,,WC,372,47,,,34.792606,180,5801,USA,,,81,693,,,27.712526,188,6-1 7-6(4),,2,0,12,7,1,0,TRUE,174128,0,92,5,2,68,31,26,20,10,2,3,4,2,62,33,23,11,9,4,7
166890,4001,274,22/08/2016,H,FALSE,R32,3,5438,USA,4,,21,1680,,,26.66119,188,4585,CZE,,,82,690,,,31.080082,196,6-3 6-2,,2,0,12,5,0,0,TRUE,166890,0,57,2,2,53,28,21,18,9,0,0,6,4,47,29,19,7,8,1,4
176115,4228,271,6/01/2020,H,FALSE,RR,3,5131,ESP,,,10,2335,,,31.728952,183,6209,GEO,,,678,29,,,26.40657,,6-0 6-0,,2,0,12,0,0,0,TRUE,176115,0,72,1,0,30,18,15,10,6,1,1,5,2,67,41,20,7,6,8,14
169169,4056,272,19/06/2017,G,FALSE,R32,3,33214,CAN,,Q,193,279,,,18.179329,185,6364,GBR,,,47,898,,,22.4449,188,7-6(4) 4-6 6-4,,2,1,16,16,1,0,TRUE,169169,0,128,12,6,96,47,38,29,16,1,2,7,3,94,52,43,24,16,4,5
177156,4251,289,12/10/2020,H,TRUE,R16,3,5420,MDA,,,82,772,,,30.918549,175,6200,GER,,Q,142,423,,,27.241615,,6-4 5-7 7-5,,2,1,18,16,0,0,TRUE,177156,0,150,2,3,108,70,43,22,17,9,13,4,6,98,54,40,18,17,4,9
169148,4055,282,19/06/2017,G,FALSE,R32,3,6284,FRA,6,,15,2570,,,23.318275,185,5515,GER,,,49,883,,,27.151266,193,1-6 6-3 6-4,,2,1,13,13,0,0,TRUE,169148,0,79,12,4,75,49,35,13,13,2,5,15,7,73,35,32,17,13,2,5
165639,3973,272,18/04/2016,C,FALSE,R32,3,5231,UKR,11,,30,1260,,,27.444216,180,5528,RUS,,,68,748,,,25.943874,185,4-6 7-6(9) 6-4,,2,1,16,16,1,0,TRUE,165639,0,125,12,2,101,61,44,25,16,1,3,7,0,113,70,51,19,16,5,7
168029,4030,272,13/02/2017,H,TRUE,R32,3,24020,USA,,WC,180,318,,,19.46338,211,11549,USA,,WC,100,594,,,20.347708,,6-1 7-5,,2,0,13,6,0,0,TRUE,168029,0,70,15,1,61,37,27,15,10,4,5,3,4,44,22,17,9,9,0,4
166545,3993,276,18/07/2016,C,FALSE,R32,3,4992,NED,,,115,523,,,28.91718,190,4927,FRA,,Q,159,350,,,29.138947,203,7-5 6-2,,2,0,13,7,0,0,TRUE,166545,0,72,2,0,66,37,26,17,10,0,1,3,1,68,45,28,11,10,2,6
164496,3944,4,26/10/2015,H,FALSE,R32,3,4654,URU,,,37,1100,,,29.815195,180,5793,ESP,,,70,719,,,24.290213,188,6-2 6-3,,2,0,12,5,0,0,TRUE,164496,0,,4,0,47,30,25,11,9,0,0,1,1,50,32,19,9,8,6,9
174268,4182,297,22/04/2019,C,FALSE,QF,3,26413,ITA,,,55,927,,,23.025326,196,4654,URU,,,73,757,,,33.30322,180,6-3 1-6 6-3,,2,1,13,12,0,0,TRUE,174268,0,112,6,2,76,46,38,10,13,6,9,1,4,76,41,29,17,12,7,10
177229,4253,270,12/10/2020,H,FALSE,R32,3,33214,CAN,2,,12,2695,,,21.494867,185,4677,SRB,,LL,197,298,,,34.669403,193,6-2 6-3,,2,0,12,5,0,0,TRUE,177229,0,62,10,1,43,28,24,8,8,0,0,5,1,51,38,22,6,9,0,4
176632,4241,272,17/02/2020,C,FALSE,R32,3,50371,BRA,,WC,206,235,,,19.939768,,45045,ESP,,,90,655,,,20.703629,183,5-7 7-6(3) 7-5,,2,1,18,18,1,0,TRUE,176632,0,229,5,6,132,67,44,30,18,6,12,1,2,159,104,61,27,18,15,21
177169,4251,273,12/10/2020,H,TRUE,R32,3,27834,POL,6,,31,1468,,,23.665981,196,17203,AUS,,LL,116,539,,,23.446955,,6-2 7-5,,2,0,13,7,0,0,TRUE,177169,0,92,1,1,63,41,29,11,10,3,5,1,6,63,39,25,8,10,5,10
