1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
171155,4108,208,5/03/2018,H,FALSE,R128,3,6030,ARG,,,94,609,,,25.549623,,6196,CZE,,,63,850,,,24.65161,198,7-5 6-3,,2,0,13,8,0,0,TRUE,171155,0,97,1,3,71,41,29,22,11,3,3,4,6,56,33,25,12,10,2,4,2.43,1.56,2.35,3.81,5.24,3.91,2.37,1.61
171154,4108,207,5/03/2018,H,FALSE,R128,3,5528,RUS,,,76,707,,,27.82204,185,11547,RUS,,,41,1235,,,21.787817,198,6-3 1-6 7-6(4),,2,1,13,15,1,0,TRUE,171154,0,120,3,2,83,52,36,18,14,5,9,8,2,92,51,35,23,14,2,5,1.3,3.56,6.07,6.9,3.83,1.79,2.75,1.51
171141,4108,180,5/03/2018,H,FALSE,R128,3,4789,FRA,,,42,1220,,,31.507187,193,5044,AUS,,,78,685,,,30.272417,188,6-3 6-3,,2,0,12,6,0,0,TRUE,171141,0,71,6,2,58,34,23,13,9,2,3,1,5,61,33,20,11,9,2,6,1.21,4.39,7.47,8.84,3.94,1.62,3.25,1.44
171149,4108,196,5/03/2018,H,FALSE,R128,3,4570,CYP,,Q,102,564,,,32.71458,183,6401,JPN,,PR,255,197,,,22.436687,170,7-5 3-6 7-5,,2,1,17,16,0,0,TRUE,171149,0,133,15,5,95,59,39,16,17,3,9,2,5,95,63,36,15,16,7,13,1.28,3.7,6.23,7.24,3.86,1.74,3,1.47
171146,4108,191,5/03/2018,H,FALSE,R128,3,5303,POR,,,85,660,,,28.93087,185,4022,RUS,,,95,604,,,35.69336,183,4-6 6-4 7-6(4),,2,1,16,16,1,0,TRUE,171146,0,159,7,3,101,58,36,20,16,4,10,3,13,122,54,33,32,16,11,17,2.39,1.58,2.4,3.93,5.13,3.96,2.43,1.59
171150,4108,199,5/03/2018,H,FALSE,R128,3,6012,IND,,Q,110,538,,,25.66735,183,3917,FRA,,Q,101,576,,,36.11773,190,7-5 6-3,,2,0,13,8,0,0,TRUE,171150,0,101,3,4,69,44,28,12,10,5,8,1,5,71,39,21,12,11,5,11,1.93,1.87,2.96,4.17,4.26,3.02,2.28,1.63
171152,4108,203,5/03/2018,H,FALSE,R128,3,23847,USA,,WC,117,481,,,21.66735,,26010,USA,,,64,844,,,20.120466,188,7-5 6-3,,2,0,13,8,0,0,TRUE,171152,0,82,5,1,62,30,21,21,11,1,2,5,0,55,33,23,10,10,2,5,1.45,2.74,4.59,5.65,3.76,2.2,2.5,1.59
171138,4108,175,5/03/2018,H,FALSE,R128,3,5902,HUN,,,65,825,,,26.069815,188,4677,SRB,,,68,790,,,32.06297,193,7-6(3) 6-1,,2,0,12,7,1,0,TRUE,171138,0,86,0,1,53,24,15,23,9,2,3,2,2,68,38,24,11,10,4,8,2.21,1.67,2.65,3.94,4.67,3.59,2.37,1.63
171142,4108,183,5/03/2018,H,FALSE,R128,3,6107,JPN,,Q,109,539,,,25.100616,,11787,GBR,,Q,111,529,,,22.532513,188,6-3 1-6 6-1,,2,1,13,10,0,0,TRUE,171142,0,104,5,3,80,53,37,11,12,1,3,2,6,78,44,33,12,11,5,8,2.77,1.44,2.1,3.81,5.9,4.61,2.5,1.57
171148,4108,195,5/03/2018,H,FALSE,R128,3,4533,ISR,,LL,97,595,,,32.91718,175,5367,GER,,,50,1016,,,28.637918,185,6-4 6-4,,2,0,12,8,0,0,TRUE,171148,0,64,2,4,59,35,27,12,10,2,4,7,9,56,27,21,12,10,2,6,2.92,1.41,2.04,3.75,5.99,4.72,2.5,1.56
171147,4108,192,5/03/2018,H,FALSE,R128,3,44824,CAN,,Q,169,327,,,17.571526,193,5565,CAN,,Q,75,708,,,27.698837,193,6-2 7-6(4),,2,0,12,8,1,0,TRUE,171147,0,99,11,2,64,35,27,20,10,3,3,2,2,67,31,20,22,10,2,4,1.49,2.61,4.46,5.69,3.77,2.2,2.5,1.6
171151,4108,200,5/03/2018,H,FALSE,R128,3,4994,GER,,,53,952,,,30.53525,190,5055,KAZ,,,89,638,,,30.19028,183,6-3 4-6 6-1,,2,1,16,10,0,0,TRUE,171151,0,129,5,2,78,43,36,19,13,3,5,2,2,91,52,31,17,13,5,10,1.8,2.02,3.41,4.46,4.03,2.78,2.37,1.64
171153,4108,204,5/03/2018,H,FALSE,R128,3,5333,ITA,,,77,688,,,28.774813,,5602,USA,,WC,166,335,,,27.540041,190,6-4 6-4,,2,0,12,8,0,0,TRUE,171153,0,83,0,1,66,44,33,13,10,1,1,8,1,60,40,29,9,10,1,3,1.83,1.97,3.2,4.38,4.18,2.92,2.35,1.63
171139,4108,176,5/03/2018,H,FALSE,R128,3,5058,USA,,Q,126,450,,,30.179329,175,11485,SRB,,,90,626,,,22.757015,188,6-3 6-2,,2,0,12,5,0,0,TRUE,171139,0,75,2,0,61,35,30,10,9,6,7,1,1,49,28,17,7,8,2,6,1.34,3.28,5.27,6.45,3.81,1.96,2.62,1.51
171199,4108,267,5/03/2018,H,FALSE,R64,3,5166,FRA,20,,23,1715,,,29.68104,183,5159,CAN,,Q,134,412,,,29.71937,180,6-1 6-4,,2,0,12,5,0,0,TRUE,171199,0,83,5,2,58,35,28,10,9,1,2,0,0,61,40,24,7,8,8,12,1.26,3.86,6.41,7.49,3.91,1.75,2.75,1.48
171187,4108,255,5/03/2018,H,FALSE,R64,3,6030,ARG,,,94,609,,,25.549623,,5986,BIH,26,,30,1445,,,25.790554,172,4-6 6-2 6-1,,2,1,16,9,0,0,TRUE,171187,0,114,4,4,83,52,35,16,13,7,10,0,2,72,41,21,13,12,3,9,1.32,3.42,5.78,7.06,3.91,1.81,2.75,1.52
171196,4108,264,5/03/2018,H,FALSE,R64,3,11176,KOR,23,,26,1567,,,21.793293,,5571,SRB,,,91,621,,,27.679672,180,6-7(9) 6-3 6-3,,2,1,18,12,0,1,TRUE,171196,0,169,4,8,121,71,46,22,15,10,15,3,2,116,80,45,15,15,15,23,4.19,1.23,1.68,3.93,7.98,6.8,3,1.44
171193,4108,261,5/03/2018,H,FALSE,R64,3,4269,ESP,,,39,1260,,,34.302532,188,5763,BUL,3,,4,4635,,,26.803558,188,7-6(4) 4-6 6-3,,2,1,16,15,1,0,TRUE,171193,0,126,12,7,94,58,45,19,16,7,10,2,3,96,61,41,19,15,0,3,1.47,2.68,4.65,5.74,3.77,2.16,2.5,1.6
171190,4108,258,5/03/2018,H,FALSE,R64,3,5131,ESP,13,,16,2255,,,29.889116,183,11549,USA,,,48,1038,,,21.40178,,6-4 6-2,,2,0,12,6,0,0,TRUE,171190,0,84,2,1,55,33,22,15,9,2,3,3,3,55,28,17,13,9,0,4,2.83,1.43,2.05,3.76,5.88,4.62,2.5,1.57
171198,4108,266,5/03/2018,H,FALSE,R64,3,4868,FRA,,,100,580,,,31.05818,188,4921,ITA,16,,19,2190,,,30.781656,178,4-6 7-6(2) 6-4,,2,1,16,16,1,0,TRUE,171198,0,160,14,10,116,68,50,19,16,10,14,3,5,113,63,39,30,16,9,13,2.72,1.46,2.15,3.78,5.75,4.52,2.5,1.57
171189,4108,257,5/03/2018,H,FALSE,R64,3,5793,ESP,11,,14,2315,,,26.647501,188,4546,ARG,,,66,813,,,32.85421,188,3-6 6-3 7-6(3),,2,1,15,15,1,0,TRUE,171189,0,158,10,3,93,59,44,20,15,5,7,4,4,115,67,47,23,15,12,14,1.39,3.01,5.08,6.15,3.8,2.01,2.62,1.56
171195,4108,263,5/03/2018,H,FALSE,R64,3,4654,URU,30,,34,1310,,,32.172485,180,33214,CAN,,,44,1166,,,18.888433,185,7-6(4) 6-3,,2,0,12,9,1,0,TRUE,171195,0,100,2,2,78,58,44,10,11,4,5,10,2,72,42,30,13,10,3,5,2.76,1.45,2.17,3.74,5.58,4.58,2.5,1.59
171201,4108,269,5/03/2018,H,FALSE,R64,3,3819,SUI,1,,1,10060,,,36.572212,185,5630,ARG,,,67,800,,,27.4141,190,6-3 7-6(6),,2,0,12,9,1,0,TRUE,171201,0,101,5,1,82,53,39,16,11,3,3,2,2,71,33,24,23,10,0,1,1.02,16.02,23.33,25.2,6.22,1.15,6.5,1.16
171194,4108,262,5/03/2018,H,FALSE,R64,3,6219,AUT,5,,6,3810,,,24.501026,185,26577,GRE,,,71,756,,,19.561943,193,6-2 3-6 6-3,,2,1,15,11,0,0,TRUE,171194,0,111,10,2,64,38,31,17,13,1,3,4,5,94,50,32,21,13,7,11,3.59,1.29,1.82,3.84,7.06,5.99,2.75,1.5
171192,4108,260,5/03/2018,H,FALSE,R64,3,26006,USA,,,74,714,,,20.350445,193,25897,RUS,27,,31,1433,,,20.372347,188,6-4 7-6(4),,2,0,12,10,1,0,TRUE,171192,0,93,9,0,78,49,33,11,11,3,6,1,6,71,41,28,10,11,4,8,2.41,1.57,2.39,3.85,5.12,4.09,2.5,1.61
171197,4108,265,5/03/2018,H,FALSE,R64,3,4606,CZE,12,,15,2275,,,32.462696,196,9719,GER,,,73,734,,,22.721424,,6-1 6-4,,2,0,12,5,0,0,TRUE,171197,0,71,7,2,58,33,29,11,9,2,3,2,3,45,17,12,11,8,3,7,1.34,3.28,5.58,6.41,3.76,1.93,2.62,1.54
171186,4108,254,5/03/2018,H,FALSE,R64,3,4728,RSA,7,,9,3080,,,31.7974,203,5528,RUS,,,76,707,,,27.82204,185,7-5 6-4,,2,0,13,9,0,0,TRUE,171186,0,93,17,0,56,42,35,10,11,0,0,4,4,66,33,26,17,11,3,5,5.1,1.17,1.53,4.05,9.28,7.85,3.4,1.42
171188,4108,256,5/03/2018,H,FALSE,R64,3,6407,RUS,,,57,924,,,22.061602,198,26413,ITA,,LL,108,540,,,21.894592,196,6-7(6) 7-5 6-4,,2,1,19,15,0,1,TRUE,171188,0,161,6,5,124,66,45,34,17,10,12,7,5,108,61,45,23,17,6,10,1.44,2.79,4.56,5.8,3.77,2.12,2.5,1.57
171180,4108,248,5/03/2018,H,FALSE,R64,3,4533,ISR,,LL,97,595,,,32.91718,175,6364,GBR,21,,24,1642,,,23.154005,188,6-4 6-4,,2,0,12,8,0,0,TRUE,171180,0,91,3,0,66,37,28,12,10,3,5,2,3,66,33,18,17,10,5,9,3.51,1.3,1.81,3.88,6.95,5.9,2.75,1.5
171173,4108,241,5/03/2018,H,FALSE,R64,3,4789,FRA,,,42,1220,,,31.507187,193,4544,USA,15,,18,2205,,,32.85695,206,6-7(5) 7-6(3) 7-5,,2,1,19,17,1,1,TRUE,171173,0,155,8,5,121,81,62,24,18,7,7,15,3,107,68,55,23,18,2,3,2.22,1.66,2.55,3.78,4.65,3.77,2.37,1.69
171171,4108,239,5/03/2018,H,FALSE,R64,3,4259,GER,31,,37,1290,,,34.384666,178,5058,USA,,Q,126,450,,,30.179329,175,1-6 6-4 6-4,,2,1,13,14,0,0,TRUE,171171,0,114,0,0,86,52,39,14,13,5,8,4,2,87,44,29,24,14,3,6,1.36,3.16,5.14,6.21,3.82,1.9,2.62,1.53
171176,4108,244,5/03/2018,H,FALSE,R64,3,3970,ESP,29,,33,1325,,,35.92334,175,5801,USA,,WC,59,893,,,26.620123,188,6-2 7-6(3),,2,0,12,8,1,0,TRUE,171176,0,107,2,1,77,47,32,19,10,6,7,3,3,76,53,30,13,10,7,10,2.47,1.54,2.34,3.85,5.27,4.15,2.5,1.6
171174,4108,242,5/03/2018,H,FALSE,R64,3,6107,JPN,,Q,109,539,,,25.100616,,4920,SRB,10,,13,2380,,,30.787132,188,7-6(3) 4-6 6-1,,2,1,16,13,1,0,TRUE,171174,0,150,1,8,107,52,37,28,15,5,7,4,4,94,60,39,18,14,8,11,6.91,1.1,1.37,4.57,13.5,10.92,3.75,1.31
171184,4108,252,5/03/2018,H,FALSE,R64,3,3852,ESP,28,,32,1340,,,36.454483,188,23847,USA,,WC,117,481,,,21.66735,,6-4 6-3,,2,0,12,7,0,0,TRUE,171184,0,67,16,1,49,30,26,12,9,0,0,5,6,62,36,26,11,10,3,6,1.96,1.85,3.02,4.14,4.19,3.12,2.25,1.68
171182,4108,250,5/03/2018,H,FALSE,R64,3,6012,IND,,Q,110,538,,,25.66735,183,6284,FRA,9,,12,2455,,,24.027378,185,6-4 6-4,,2,0,12,8,0,0,TRUE,171182,0,79,2,1,59,44,32,8,10,2,4,6,1,66,39,22,15,10,3,7,3.35,1.33,1.87,3.79,6.63,5.46,2.63,1.52
174337,4184,280,29/04/2019,C,FALSE,R32,3,5364,SVK,,,60,885,,,29.798767,190,5201,LAT,,,78,707,,,30.66119,190,6-3 7-5,,2,0,13,8,0,0,TRUE,174337,0,121,2,1,82,47,30,19,10,7,9,5,5,76,40,27,11,11,4,9,2.73,1.44,2.09,3.98,5.9,4.53,2.62,1.45
