,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
20,177413,4260,202,2020-03-06,C,False,RR,3,6214,ARG,,,62,832,,,26.546202,,5046,COL,,,292.0,140.0,,,32.262833,188.0,6-7(6) 6-3 6-2,,2,1,18,11,0,1,True,177413,0,138.0,5,6,82,48,40,17,15,2,4,4,4,111,64,43,20,14,9,15
21,166527,3992,287,2016-07-18,C,False,R16,3,4894,NED,,,95,615,,,29.284052,190.0,4546,ARG,,,73.0,726.0,,,31.225187,188.0,7-6(5) 6-4,,2,0,12,10,1,0,True,166527,0,96.0,13,2,78,56,45,9,11,6,7,6,4,70,40,29,16,11,3,5
22,165557,3971,292,2016-04-04,C,False,R16,3,6196,CZE,8.0,,55,840,,,22.735113,198.0,5247,CRO,,Q,312.0,154.0,,,27.277208,,6-7(4) 6-3 7-6(5),,2,1,18,15,1,1,True,165557,0,181.0,15,4,112,68,55,22,17,3,4,10,4,124,52,41,38,16,5,7
23,170100,4077,280,2017-10-02,H,False,R32,3,5216,ARG,,WC,24,1820,,,29.023956,198.0,4654,URU,,,32.0,1325.0,,,31.750856,180.0,7-6(4) 6-4,,2,0,12,10,1,0,True,170100,0,98.0,11,1,75,48,39,16,11,3,3,9,1,68,42,35,13,11,1,2
24,173814,4172,281,2019-02-18,C,False,R32,3,5370,SLO,,,83,675,,,29.587954,181.0,6051,ITA,3.0,,17.0,2091.0,,,26.384668,185.0,7-5 7-6(1),,2,0,13,11,1,0,True,173814,0,111.0,5,4,85,39,28,28,12,3,5,4,5,67,45,31,10,12,1,4
25,171970,4123,284,2018-06-11,G,False,R32,3,4868,FRA,,,72,780,,,31.326488,188.0,4198,ESP,,,68.0,834.0,,,35.019848,188.0,6-4 6-7(7) 7-6(4),,2,1,18,16,1,1,True,171970,0,164.0,10,3,102,65,51,23,17,1,3,6,8,108,69,53,19,17,1,4
26,173400,4161,290,2019-01-07,H,False,R16,3,5515,GER,,,58,855,,,28.703629,193.0,4903,NZL,,WC,360.0,56.0,,,31.704311,183.0,6-2 6-1,,2,0,12,3,0,0,True,173400,0,63.0,12,0,48,29,24,12,8,3,3,4,2,46,30,19,3,7,3,7
27,171026,4104,278,2018-02-19,C,False,R32,3,4654,URU,7.0,,33,1380,,,32.134155,180.0,6315,BRA,,WC,104.0,540.0,,,23.723476,183.0,6-7(5) 7-6(10) 6-3,,2,1,18,15,1,1,True,171026,0,161.0,11,7,108,60,48,22,17,3,7,9,2,100,64,44,15,16,1,6
28,176931,4247,272,2020-09-07,C,False,R32,3,50810,ITA,,WC,74,733,,,19.041752,188.0,4259,GER,,WC,75.0,729.0,,,36.876114,178.0,6-3 6-2,,2,0,12,5,0,0,True,176931,0,67.0,5,0,44,26,22,11,9,1,2,1,0,50,30,16,9,8,3,7
29,164331,3939,10,2015-10-11,H,False,R64,3,4467,FRA,10.0,,14,2020,,,30.78987,183.0,5918,GEO,,Q,93.0,581.0,,,23.633127,185.0,6-3 4-6 6-0,,2,1,16,9,0,0,True,164331,0,,1,4,80,46,31,19,13,2,5,2,3,67,39,22,13,12,2,8
30,177472,4261,6104,2020-03-06,C,False,RR,3,22389,ISR,,,355,107,,,22.954142,,17199,TUR,,,195.0,257.0,,,24.531143,,6-2 7-6(4),,2,0,12,8,1,0,True,177472,0,95.0,2,5,66,43,28,14,10,2,4,3,0,69,48,28,11,10,2,6
31,170976,4102,286,2018-02-19,H,False,R16,3,26010,USA,,WC,91,614,,,20.082136,188.0,5216,ARG,2.0,,10.0,2815.0,,,29.407255,198.0,7-6(6) 4-6 7-5,,2,1,17,17,1,0,True,170976,0,146.0,17,4,124,90,63,17,17,14,16,13,3,111,76,51,22,17,6,8
32,170935,4101,276,2018-02-12,H,True,R32,3,4677,SRB,,,67,755,,,32.005474,193.0,5515,GER,,,56.0,905.0,,,27.802876,193.0,1-6 7-6(5) 6-2,,2,1,13,14,1,0,True,170935,0,108.0,14,2,87,67,53,8,13,3,5,11,5,119,76,55,19,14,6,8
33,174774,4194,277,2019-06-24,G,False,R32,3,6057,AUS,,,101,548,,,26.672142,193.0,4311,ITA,7.0,,71.0,745.0,,,35.33744,190.0,4-6 6-4 6-4,,2,1,16,14,0,0,True,174774,0,127.0,24,6,117,79,59,16,15,11,13,16,3,117,62,47,24,15,7,10
34,176555,4239,291,2020-02-17,H,False,R16,3,51544,USA,,WC,294,139,,,18.540726,,11787,GBR,,Q,60.0,885.0,,,24.487337,188.0,7-5 6-2,,2,0,13,7,0,0,True,176555,0,81.0,3,0,55,28,21,18,10,1,2,3,4,63,37,20,15,10,3,7
35,171103,4106,293,2018-02-26,H,False,R16,3,4291,TUN,,WC,117,481,,,34.10267,185.0,4894,NED,,,43.0,1220.0,,,30.893908,190.0,7-6(4) 7-6(3),,2,0,12,12,2,0,True,171103,0,116.0,6,2,94,58,48,17,12,8,8,8,1,73,43,38,14,12,1,1
36,161708,3880,9,2015-01-05,H,False,R32,3,4752,FRA,6.0,,26,1350,,,28.550308,185.0,4664,ESP,,,41.0,950.0,,,28.950035,180.0,6-3 7-5,,2,0,13,8,0,0,True,161708,0,93.0,8,4,64,43,33,10,11,4,5,1,1,68,51,34,7,10,4,7
