match_id,match_num,date,surface,indoor,round,best_of,winner_id,loser_id,score,outcome,w_sets,l_sets,player_id,first_name,last_name,player_id,first_name,last_name
161932,21,2/02/2015,H,f,QF,3,4789,4326,4-6 6-2 6-3,,2,1,4789,Gael,Monfils,4326,Steve,Darcis
161933,22,2/02/2015,H,f,QF,3,4752,4794,6-3 6-4,,2,0,4752,Richard,Gasquet,4794,Denis,Istomin
161934,23,2/02/2015,H,f,QF,3,5303,4259,7-6(5) 6-4,,2,0,5303,Joao,Sousa,4259,Philipp,Kohlschreiber
161935,24,2/02/2015,H,f,QF,3,5655,4467,6-2 7-5,,2,0,5655,Jerzy,Janowicz,4467,Gilles,Simon
161936,25,2/02/2015,H,f,SF,3,4752,4789,6-4 6-3,,2,0,4752,Richard,Gasquet,4789,Gael,Monfils
161937,26,2/02/2015,H,f,SF,3,5655,5303,7-6(9) 3-6 6-1,,2,1,5655,Jerzy,Janowicz,5303,Joao,Sousa
161960,22,2/02/2015,C,f,QF,3,4269,3893,6-1 6-2,,2,0,4269,Fernando,Verdasco,3893,Paolo,Lorenzi
161961,23,2/02/2015,C,f,QF,3,3607,5364,6-2 6-2,,2,0,3607,Victor,Estrella,5364,Martin,Klizan
161962,24,2/02/2015,C,f,QF,3,5057,3656,6-3 7-6(6),,2,0,5057,Thomaz,Bellucci,3656,Albert,Montanes
161963,25,2/02/2015,C,f,SF,3,3852,4269,7-6(5) 7-6(1),,2,0,3852,Feliciano,Lopez,4269,Fernando,Verdasco
161964,26,2/02/2015,C,f,SF,3,3607,5057,7-6(5) 7-5,,2,0,3607,Victor,Estrella,5057,Thomaz,Bellucci
161965,27,2/02/2015,C,f,F,3,3607,3852,6-2 6-7(5) 7-6(5),,2,1,3607,Victor,Estrella,3852,Feliciano,Lopez
161967,2,2/02/2015,H,f,R32,3,4659,6418,6-2 6-4,,2,0,4659,Sergiy,Stakhovsky,6418,Borna,Coric
161981,16,2/02/2015,H,f,R16,3,4677,4423,6-3 6-1,,2,0,4677,Viktor,Troicki,4423,Go,Soeda
161982,17,2/02/2015,H,f,R16,3,4311,4865,7-5 6-7(4) 6-3,,2,1,4311,Andreas,Seppi,4865,James,Ward
161983,18,2/02/2015,H,f,R16,3,5564,4180,3-6 7-6(5) 6-4,,2,1,5564,Ricardas,Berankis,4180,Gilles,Muller
161984,19,2/02/2015,H,f,R16,3,4716,4470,7-6(8) 4-6 6-3,,2,1,4716,Marcel,Granollers,4470,Ivan,Dodig
161985,20,2/02/2015,H,f,R16,3,4992,5166,7-6(3) 4-6 6-1,,2,1,4992,Igor,Sijsling,5166,Adrian,Mannarino
161986,21,2/02/2015,H,f,QF,3,4570,4022,3-6 6-3 6-4,,2,1,4570,Marcos,Baghdatis,4022,Mikhail,Youzhny
161987,22,2/02/2015,H,f,QF,3,4198,4677,6-1 6-7(5) 7-5,,2,1,4198,Guillermo,Garcia Lopez,4677,Viktor,Troicki
